<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
INDEX.ASX200,D,10/25/07,000000,6624.3000000
INDEX.ASX200,D,10/26/07,000000,6700.6000000
INDEX.ASX200,D,10/29/07,000000,6792.1000000
INDEX.ASX200,D,10/30/07,000000,6750.2000000
INDEX.ASX200,D,10/31/07,000000,6754.1000000
INDEX.ASX200,D,11/01/07,000000,6828.7000000
INDEX.ASX200,D,11/02/07,000000,6696.6000000
INDEX.ASX200,D,11/05/07,000000,6702.6000000
INDEX.ASX200,D,11/06/07,000000,6628.0000000
INDEX.ASX200,D,11/07/07,000000,6692.4000000
INDEX.ASX200,D,11/08/07,000000,6521.6000000
INDEX.ASX200,D,11/09/07,000000,6545.7000000
INDEX.ASX200,D,11/12/07,000000,6455.3000000
INDEX.ASX200,D,11/13/07,000000,6515.2000000
INDEX.ASX200,D,11/14/07,000000,6598.6000000
INDEX.ASX200,D,11/15/07,000000,6528.6000000
INDEX.ASX200,D,11/16/07,000000,6461.9000000
INDEX.ASX200,D,11/19/07,000000,6535.2000000
INDEX.ASX200,D,11/20/07,000000,6425.4000000
INDEX.ASX200,D,11/21/07,000000,6384.3000000
INDEX.ASX200,D,11/22/07,000000,6334.3000000
INDEX.ASX200,D,11/23/07,000000,6330.2000000
INDEX.ASX200,D,11/26/07,000000,6471.4000000
INDEX.ASX200,D,11/27/07,000000,6432.7000000
INDEX.ASX200,D,11/28/07,000000,6370.1000000
INDEX.ASX200,D,11/29/07,000000,6444.5000000
INDEX.ASX200,D,11/30/07,000000,6533.1000000
INDEX.ASX200,D,12/03/07,000000,6533.5000000
INDEX.ASX200,D,12/04/07,000000,6530.8000000
INDEX.ASX200,D,12/05/07,000000,6508.1000000
INDEX.ASX200,D,12/06/07,000000,6600.9000000
INDEX.ASX200,D,12/07/07,000000,6654.7000000
INDEX.ASX200,D,12/10/07,000000,6625.1000000
INDEX.ASX200,D,12/11/07,000000,6680.4000000
INDEX.ASX200,D,12/12/07,000000,6615.2000000
INDEX.ASX200,D,12/13/07,000000,6597.6000000
INDEX.ASX200,D,12/14/07,000000,6491.7000000
INDEX.ASX200,D,12/17/07,000000,6263.5000000
INDEX.ASX200,D,12/18/07,000000,6236.9000000
INDEX.ASX200,D,12/19/07,000000,6216.4000000
INDEX.ASX200,D,12/20/07,000000,6176.9000000
INDEX.ASX200,D,12/21/07,000000,6247.0000000
INDEX.ASX200,D,12/24/07,000000,6323.6000000
INDEX.ASX200,D,12/27/07,000000,6350.9000000
INDEX.ASX200,D,12/28/07,000000,6339.9000000
INDEX.ASX200,D,12/31/07,000000,6339.8000000
INDEX.ASX200,D,01/02/08,000000,6353.2000000
INDEX.ASX200,D,01/03/08,000000,6290.7000000
INDEX.ASX200,D,01/04/08,000000,6306.8000000
INDEX.ASX200,D,01/07/08,000000,6161.6000000
INDEX.ASX200,D,01/10/08,000000,6078.7000000
INDEX.ASX200,D,01/11/08,000000,5981.6000000
INDEX.ASX200,D,01/14/08,000000,5980.0000000
INDEX.ASX200,D,01/15/08,000000,5960.0000000
INDEX.ASX200,D,01/16/08,000000,5809.7000000
INDEX.ASX200,D,01/17/08,000000,5796.1000000
INDEX.ASX200,D,01/18/08,000000,5747.3000000
INDEX.ASX200,D,01/21/08,000000,5580.4000000
INDEX.ASX200,D,01/22/08,000000,5186.8000000
INDEX.ASX200,D,01/23/08,000000,5412.3000000
INDEX.ASX200,D,01/24/08,000000,5580.4000000
