<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
I.BSE_SEN,D,10/25/07,000000,18770.8900000
I.BSE_SEN,D,10/26/07,000000,19243.1700000
I.BSE_SEN,D,10/29/07,000000,19977.6700000
I.BSE_SEN,D,10/30/07,000000,19783.5100000
I.BSE_SEN,D,10/31/07,000000,19837.9900000
I.BSE_SEN,D,11/01/07,000000,19724.3500000
I.BSE_SEN,D,11/02/07,000000,19976.2300000
I.BSE_SEN,D,11/05/07,000000,19590.7800000
I.BSE_SEN,D,11/06/07,000000,19470.4300000
I.BSE_SEN,D,11/07/07,000000,19289.8300000
I.BSE_SEN,D,11/08/07,000000,19058.9300000
I.BSE_SEN,D,11/09/07,000000,19058.9300000
I.BSE_SEN,D,11/12/07,000000,18737.2700000
I.BSE_SEN,D,11/13/07,000000,19035.4800000
I.BSE_SEN,D,11/14/07,000000,19929.0600000
I.BSE_SEN,D,11/15/07,000000,19784.8900000
I.BSE_SEN,D,11/16/07,000000,19698.3600000
I.BSE_SEN,D,11/19/07,000000,19633.3600000
I.BSE_SEN,D,11/20/07,000000,19280.8000000
I.BSE_SEN,D,11/21/07,000000,18602.6200000
I.BSE_SEN,D,11/22/07,000000,18526.3200000
I.BSE_SEN,D,11/23/07,000000,18852.8700000
I.BSE_SEN,D,11/26/07,000000,19247.5400000
I.BSE_SEN,D,11/27/07,000000,19127.7300000
I.BSE_SEN,D,11/28/07,000000,18938.8700000
I.BSE_SEN,D,11/29/07,000000,19003.2600000
I.BSE_SEN,D,11/30/07,000000,19363.1900000
I.BSE_SEN,D,12/03/07,000000,19603.4100000
I.BSE_SEN,D,12/04/07,000000,19529.5000000
I.BSE_SEN,D,12/05/07,000000,19738.0700000
I.BSE_SEN,D,12/06/07,000000,19795.8700000
I.BSE_SEN,D,12/07/07,000000,19966.0000000
I.BSE_SEN,D,12/10/07,000000,19930.6800000
I.BSE_SEN,D,12/11/07,000000,20290.8900000
I.BSE_SEN,D,12/12/07,000000,20375.8700000
I.BSE_SEN,D,12/13/07,000000,20104.3900000
I.BSE_SEN,D,12/14/07,000000,20030.8300000
I.BSE_SEN,D,12/17/07,000000,19261.3500000
I.BSE_SEN,D,12/18/07,000000,19079.6400000
I.BSE_SEN,D,12/19/07,000000,19091.9600000
I.BSE_SEN,D,12/20/07,000000,19162.5700000
I.BSE_SEN,D,12/24/07,000000,19854.1200000
I.BSE_SEN,D,12/26/07,000000,20192.5200000
I.BSE_SEN,D,12/27/07,000000,20216.7200000
I.BSE_SEN,D,12/28/07,000000,20206.9500000
I.BSE_SEN,D,12/31/07,000000,20286.9900000
I.BSE_SEN,D,01/01/08,000000,20300.7100000
I.BSE_SEN,D,01/02/08,000000,20465.3000000
I.BSE_SEN,D,01/03/08,000000,20345.2000000
I.BSE_SEN,D,01/04/08,000000,20686.8900000
I.BSE_SEN,D,01/07/08,000000,20812.6500000
I.BSE_SEN,D,01/09/08,000000,20869.7800000
I.BSE_SEN,D,01/10/08,000000,20582.0800000
I.BSE_SEN,D,01/11/08,000000,20827.4500000
I.BSE_SEN,D,01/14/08,000000,20728.0500000
I.BSE_SEN,D,01/15/08,000000,20251.0900000
I.BSE_SEN,D,01/16/08,000000,19868.1100000
I.BSE_SEN,D,01/17/08,000000,19700.8200000
I.BSE_SEN,D,01/18/08,000000,19013.7000000
I.BSE_SEN,D,01/21/08,000000,17605.3500000
I.BSE_SEN,D,01/22/08,000000,16729.9400000
I.BSE_SEN,D,01/23/08,000000,17594.0700000
I.BSE_SEN,D,01/24/08,000000,17221.7400000
I.BSE_SEN,D,01/25/08,000000,18361.6600000
I.BSE_SEN,D,01/28/08,000000,18152.7800000
I.BSE_SEN,D,01/29/08,000000,18091.9400000
I.BSE_SEN,D,01/30/08,000000,17758.6400000
I.BSE_SEN,D,01/31/08,000000,17648.7100000
I.BSE_SEN,D,02/01/08,000000,18242.5800000
I.BSE_SEN,D,02/04/08,000000,18660.3200000
I.BSE_SEN,D,02/05/08,000000,18663.1600000
I.BSE_SEN,D,02/06/08,000000,18139.4900000
I.BSE_SEN,D,02/07/08,000000,17526.9300000
I.BSE_SEN,D,02/08/08,000000,17464.8900000
I.BSE_SEN,D,02/11/08,000000,16630.9100000
I.BSE_SEN,D,02/12/08,000000,16608.0100000
I.BSE_SEN,D,02/13/08,000000,16949.1400000
I.BSE_SEN,D,02/14/08,000000,17766.6300000
I.BSE_SEN,D,02/15/08,000000,18115.2500000
I.BSE_SEN,D,02/18/08,000000,18048.0500000
I.BSE_SEN,D,02/19/08,000000,18075.6600000
I.BSE_SEN,D,02/20/08,000000,17617.6000000
I.BSE_SEN,D,02/21/08,000000,17734.6800000
I.BSE_SEN,D,02/22/08,000000,17349.0700000
I.BSE_SEN,D,02/25/08,000000,17650.5700000
I.BSE_SEN,D,02/26/08,000000,17806.1900000
I.BSE_SEN,D,02/27/08,000000,17825.9900000
I.BSE_SEN,D,02/28/08,000000,17824.4800000
I.BSE_SEN,D,02/29/08,000000,17578.7200000
I.BSE_SEN,D,03/03/08,000000,16677.8800000
I.BSE_SEN,D,03/04/08,000000,16339.8900000
I.BSE_SEN,D,03/05/08,000000,16542.0800000
I.BSE_SEN,D,03/07/08,000000,15975.5200000
I.BSE_SEN,D,03/10/08,000000,15923.7200000
I.BSE_SEN,D,03/11/08,000000,16123.1500000
I.BSE_SEN,D,03/12/08,000000,16127.9800000
I.BSE_SEN,D,03/13/08,000000,15357.3500000
I.BSE_SEN,D,03/14/08,000000,15760.5200000
I.BSE_SEN,D,03/17/08,000000,14809.4900000
I.BSE_SEN,D,03/18/08,000000,14833.4600000
I.BSE_SEN,D,03/19/08,000000,14994.8300000
I.BSE_SEN,D,03/24/08,000000,15289.4000000
I.BSE_SEN,D,03/25/08,000000,16217.4900000
I.BSE_SEN,D,03/26/08,000000,16086.8300000
I.BSE_SEN,D,03/27/08,000000,16015.5600000
I.BSE_SEN,D,03/28/08,000000,16191.5300000
I.BSE_SEN,D,03/31/08,000000,15644.4400000
I.BSE_SEN,D,04/01/08,000000,15626.6200000
I.BSE_SEN,D,04/02/08,000000,15750.4000000
I.BSE_SEN,D,04/03/08,000000,15832.5500000
I.BSE_SEN,D,04/04/08,000000,15343.1200000
I.BSE_SEN,D,04/07/08,000000,15757.0800000
