<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BVSP,D,12/19/02,000000,11207.5000000
BVSP,D,12/20/02,000000,11489.9900000
BVSP,D,12/23/02,000000,11470.1500000
BVSP,D,12/26/02,000000,11318.0800000
BVSP,D,12/27/02,000000,11234.4900000
BVSP,D,12/30/02,000000,11268.4700000
BVSP,D,01/02/03,000000,11602.9800000
BVSP,D,01/03/03,000000,11600.2300000
BVSP,D,01/06/03,000000,12019.7000000
BVSP,D,01/07/03,000000,11876.0900000
BVSP,D,01/08/03,000000,11791.4000000
BVSP,D,01/09/03,000000,11911.7200000
BVSP,D,01/10/03,000000,12242.9200000
BVSP,D,01/13/03,000000,12110.2700000
BVSP,D,01/14/03,000000,12174.6600000
BVSP,D,01/15/03,000000,11971.3100000
BVSP,D,01/16/03,000000,11951.9300000
BVSP,D,01/17/03,000000,11675.7000000
BVSP,D,01/20/03,000000,11648.3800000
BVSP,D,01/21/03,000000,11434.7100000
BVSP,D,01/22/03,000000,11142.4800000
BVSP,D,01/23/03,000000,11162.1400000
BVSP,D,01/24/03,000000,10783.6500000
BVSP,D,01/27/03,000000,10529.7700000
BVSP,D,01/28/03,000000,10516.8400000
BVSP,D,01/29/03,000000,10863.3100000
BVSP,D,01/30/03,000000,10750.7900000
BVSP,D,01/31/03,000000,10945.2800000
BVSP,D,02/03/03,000000,10910.0100000
BVSP,D,02/04/03,000000,10577.1700000
BVSP,D,02/05/03,000000,10591.8100000
BVSP,D,02/06/03,000000,10565.8300000
BVSP,D,02/07/03,000000,10380.5900000
BVSP,D,02/10/03,000000,10479.6100000
BVSP,D,02/11/03,000000,10509.4200000
BVSP,D,02/12/03,000000,10509.8700000
BVSP,D,02/13/03,000000,10107.7700000
BVSP,D,02/14/03,000000,10080.8300000
BVSP,D,02/17/03,000000,10199.1300000
BVSP,D,02/18/03,000000,10428.2800000
BVSP,D,02/19/03,000000,10239.0500000
BVSP,D,02/20/03,000000,10200.3700000
BVSP,D,02/21/03,000000,10330.0700000
BVSP,D,02/22/03,000000,10330.8700000
BVSP,D,02/24/03,000000,10267.8700000
BVSP,D,02/25/03,000000,10202.7400000
BVSP,D,02/26/03,000000,9996.3000000
BVSP,D,02/27/03,000000,10126.0500000
BVSP,D,02/28/03,000000,10253.9200000
BVSP,D,03/05/03,000000,10318.4600000
