Date, Open, High, Low, Close
11/26/21, 64062.74, 64064.30, 62278.23, 62410.83
11/25/21, 64169.17, 64540.48, 63899.46, 64062.74
11/24/21, 64566.39, 64814.82, 63875.60, 64169.17
11/23/21, 64384.46, 64621.14, 63971.09, 64566.39
11/22/21, 63870.65, 64463.05, 63702.59, 64384.46
11/19/21, 64288.72, 64733.26, 63607.34, 63870.65
11/18/21, 64337.17, 64501.62, 64013.58, 64288.72
11/17/21, 64281.45, 64828.21, 64175.10, 64337.17
11/16/21, 63480.76, 64387.52, 63480.76, 64281.45
11/15/21, 63263.40, 63694.69, 63015.27, 63480.76
11/12/21, 62381.97, 63310.61, 62372.42, 63263.40
11/11/21, 61537.83, 62567.25, 61509.73, 62381.97
11/10/21, 61246.70, 61748.39, 60936.06, 61537.83
11/09/21, 61317.75, 61556.23, 60991.37, 61246.70
11/08/21, 61115.79, 61535.31, 60913.67, 61317.75
11/05/21, 61409.93, 61976.13, 61043.77, 61115.79
11/04/21, 61876.97, 62396.98, 61409.93, 61409.93
11/03/21, 61158.14, 61876.97, 60960.11, 61876.97
11/02/21, 60807.87, 61484.78, 60793.68, 61158.14
11/01/21, 60807.87, 60807.87, 60807.87, 60807.87
10/29/21, 61093.41, 61327.88, 60698.26, 60807.87
10/28/21, 60874.44, 61354.51, 60864.47, 61093.41
10/27/21, 61024.55, 61032.79, 60506.22, 60874.44
10/26/21, 60445.78, 61190.91, 60340.08, 61024.55
10/25/21, 60524.55, 60927.20, 60381.33, 60445.78
10/22/21, 59535.08, 60699.87, 59534.86, 60524.55
10/21/21, 60347.45, 60385.70, 59423.58, 59535.08
10/20/21, 60190.06, 60415.69, 59814.26, 60347.45
10/19/21, 60220.45, 60683.16, 60099.79, 60190.06
10/18/21, 60494.02, 60656.10, 60136.59, 60220.45
10/15/21, 60391.05, 60767.68, 60320.90, 60494.02
10/14/21, 59516.75, 60469.73, 59516.75, 60391.05
10/13/21, 59501.73, 59516.75, 59023.39, 59516.75
10/12/21, 59662.98, 59663.88, 59044.77, 59501.73
10/11/21, 58839.09, 59948.04, 58839.09, 59662.98
10/08/21, 58721.80, 59157.89, 58628.91, 58839.09
10/07/21, 57523.81, 58816.46, 57522.36, 58721.80
10/06/21, 58097.72, 58185.23, 56980.65, 57523.81
10/05/21, 57754.97, 58133.43, 57560.89, 58097.72
10/04/21, 57265.62, 57946.22, 57035.19, 57754.97
10/01/21, 57863.40, 57863.40, 57213.62, 57265.62
09/30/21, 58022.33, 58341.38, 57863.40, 57863.40
09/29/21, 57462.19, 58022.33, 57358.73, 58022.33
09/28/21, 57784.27, 57933.52, 57240.89, 57462.19
09/27/21, 57642.54, 58314.83, 57642.54, 57784.27
09/24/21, 57642.54, 57642.54, 57642.54, 57642.54
09/23/21, 56938.31, 57693.54, 56933.00, 57642.54
09/22/21, 56085.63, 57165.08, 56084.17, 56938.31
09/21/21, 55246.07, 56399.56, 55246.07, 56085.63
09/20/21, 56605.25, 56605.25, 54680.95, 55246.07
09/17/21, 57098.19, 57404.53, 56605.25, 56605.25
09/16/21, 58229.94, 58247.00, 56946.88, 57098.19
09/15/21, 58115.08, 58308.81, 57631.71, 58229.94
09/14/21, 58494.78, 58509.17, 57741.61, 58115.08
09/13/21, 58175.75, 58695.27, 57943.61, 58494.78
09/10/21, 58020.55, 58572.58, 58020.55, 58175.75
09/09/21, 59378.55, 59378.55, 57847.80, 58020.55
09/08/21, 60340.77, 60341.45, 59305.22, 59378.55
09/07/21, 60035.80, 60536.52, 60035.80, 60340.77
09/06/21, 60106.72, 60511.09, 59816.93, 60035.80
09/03/21, 60357.49, 60703.69, 59928.99, 60106.72
09/02/21, 60612.64, 60679.28, 60034.91, 60357.49
09/01/21, 61039.26, 61504.81, 60452.98, 60612.64
08/31/21, 60750.09, 61283.74, 60747.63, 61039.26
08/30/21, 61393.15, 61478.75, 60702.64, 60750.09
08/27/21, 60854.92, 61426.51, 60806.05, 61393.15
08/26/21, 61212.12, 61222.01, 60734.28, 60854.92
08/25/21, 61180.29, 61262.07, 60922.82, 61212.12
08/24/21, 60562.05, 61366.09, 60562.05, 61180.29
08/23/21, 59800.02, 60761.01, 59795.83, 60562.05
08/20/21, 59854.78, 60511.05, 59483.94, 59800.02
08/19/21, 61608.96, 61608.96, 59566.11, 59854.78
08/18/21, 62657.34, 62964.50, 61458.95, 61608.96
08/17/21, 62607.03, 63304.78, 62355.55, 62657.34
08/16/21, 63269.04, 63269.04, 62415.21, 62607.03
08/13/21, 63276.98, 63579.91, 63074.32, 63269.04
08/12/21, 63488.73, 63500.15, 62889.74, 63276.98
08/11/21, 63541.21, 63797.42, 63234.13, 63488.73
08/10/21, 62509.23, 63676.82, 62282.25, 63541.21
08/09/21, 62509.23, 62509.23, 62509.23, 62509.23
08/06/21, 62199.85, 62661.68, 62192.01, 62509.23
08/05/21, 62750.03, 62750.03, 62199.85, 62199.85
08/04/21, 62543.44, 63148.08, 62490.29, 62750.03
08/03/21, 62704.00, 62789.90, 62198.19, 62543.44
08/02/21, 62852.28, 63466.35, 62704.00, 62704.00
07/30/21, 63394.89, 63394.89, 62394.47, 62852.28
07/29/21, 62368.63, 63603.42, 62349.71, 63394.89
07/28/21, 61208.33, 62368.63, 60725.10, 62368.63
07/27/21, 61946.37, 62000.68, 60752.38, 61208.33
07/26/21, 61932.98, 62235.16, 61409.04, 61946.37
07/23/21, 61309.13, 62167.21, 61170.56, 61932.98
07/22/21, 60502.39, 61422.86, 60498.55, 61309.13
07/21/21, 59668.22, 60659.09, 59459.68, 60502.39
07/20/21, 58795.32, 59689.47, 58795.32, 59668.22
07/19/21, 60437.58, 60437.58, 58537.02, 58795.32
07/16/21, 61439.11, 61620.25, 60200.16, 60437.58
07/15/21, 61753.54, 61863.01, 61183.50, 61439.11
07/14/21, 60943.22, 62188.85, 60856.48, 61753.54
07/13/21, 61080.80, 61386.23, 60671.77, 60943.22
07/12/21, 60221.84, 61080.80, 59773.61, 61080.80
07/09/21, 59106.40, 60260.08, 59094.33, 60221.84
07/08/21, 60705.57, 60733.27, 58969.46, 59106.40
07/07/21, 59756.87, 60862.56, 59664.43, 60705.57
07/06/21, 60082.20, 60389.13, 59708.22, 59756.87
07/05/21, 60292.64, 60321.21, 59646.65, 60082.20
07/02/21, 60476.77, 60879.84, 60209.24, 60292.64
07/01/21, 60161.76, 60721.09, 59960.70, 60476.77
06/30/21, 60495.83, 60598.89, 60017.81, 60161.76
06/29/21, 59820.66, 60771.48, 59774.67, 60495.83
06/28/21, 60140.15, 60258.49, 59793.60, 59820.66
06/25/21, 60188.42, 60503.39, 59983.65, 60140.15
06/24/21, 59764.05, 60273.72, 59507.33, 60188.42
06/23/21, 59493.46, 60050.13, 59476.35, 59764.05
06/22/21, 59472.25, 59780.92, 59311.30, 59493.46
06/21/21, 59503.87, 59662.60, 58850.50, 59472.25
06/18/21, 60399.88, 60448.62, 59503.87, 59503.87
06/17/21, 61061.79, 61077.62, 60296.31, 60399.88
06/16/21, 61061.79, 61061.79, 61061.79, 61061.79
06/15/21, 61653.75, 61738.49, 60847.34, 61061.79
06/14/21, 61444.66, 61948.08, 61369.68, 61653.75
06/11/21, 61291.03, 61656.45, 61173.67, 61444.66
06/10/21, 61433.18, 61812.85, 61230.38, 61291.03
06/09/21, 61452.39, 61514.82, 61107.98, 61433.18
06/08/21, 61387.75, 61727.20, 61227.24, 61452.39
06/07/21, 61616.80, 61630.09, 60976.51, 61387.75
06/04/21, 61573.32, 62018.34, 61419.99, 61616.80
06/03/21, 62786.67, 62786.67, 61385.49, 61573.32
06/02/21, 62698.90, 63064.85, 62645.53, 62786.67
06/01/21, 61782.86, 62932.70, 61782.86, 62698.90
05/31/21, 61345.49, 61930.85, 61343.95, 61782.86
05/28/21, 60802.01, 61532.04, 60611.87, 61345.49
05/27/21, 60093.24, 60810.52, 59944.93, 60802.01
05/26/21, 60106.11, 60433.91, 60003.11, 60093.24
05/25/21, 60056.92, 60804.78, 60036.11, 60106.11
05/24/21, 60210.00, 60488.53, 59955.62, 60056.92
05/21/21, 60068.05, 60723.80, 60048.79, 60210.00
05/20/21, 59776.91, 60364.50, 59679.52, 60068.05
05/19/21, 61189.94, 61193.04, 59641.82, 59776.91
05/18/21, 61193.22, 61956.22, 60981.37, 61189.94
05/17/21, 60573.37, 61335.03, 60573.37, 61193.22
05/14/21, 60211.08, 60613.48, 60105.28, 60573.37
05/13/21, 61529.14, 61536.22, 59489.29, 60211.08
05/12/21, 61320.37, 62512.64, 61320.37, 61529.14
05/11/21, 62389.39, 62389.39, 61054.45, 61320.37
05/10/21, 62573.36, 63268.37, 62383.02, 62389.39
05/07/21, 61705.88, 62716.96, 61698.95, 62573.36
05/06/21, 61536.47, 61796.78, 61165.06, 61705.88
05/05/21, 60376.47, 61598.40, 60376.47, 61536.47
05/04/21, 60769.69, 61379.53, 60184.29, 60376.47
05/03/21, 61096.37, 61281.26, 60489.68, 60769.69
04/30/21, 61508.38, 61556.30, 60818.05, 61096.37
04/29/21, 61838.56, 62286.20, 61460.62, 61508.38
04/28/21, 61716.82, 62103.72, 61485.69, 61838.56
04/27/21, 61716.82, 61716.82, 61716.82, 61716.82
