<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
IMOEX,D,11/28/01,000000,214.7000000
IMOEX,D,11/29/01,000000,209.0300000
IMOEX,D,11/30/01,000000,213.3200000
IMOEX,D,12/03/01,000000,212.4100000
IMOEX,D,12/04/01,000000,218.7600000
IMOEX,D,12/05/01,000000,221.4100000
IMOEX,D,12/06/01,000000,225.3200000
IMOEX,D,12/07/01,000000,222.4100000
IMOEX,D,12/10/01,000000,226.3000000
IMOEX,D,12/11/01,000000,227.8300000
IMOEX,D,12/13/01,000000,221.8800000
IMOEX,D,12/14/01,000000,215.0300000
IMOEX,D,12/17/01,000000,220.5100000
IMOEX,D,12/18/01,000000,222.5700000
IMOEX,D,12/19/01,000000,225.8500000
IMOEX,D,12/20/01,000000,229.8400000
IMOEX,D,12/21/01,000000,228.0500000
IMOEX,D,12/24/01,000000,234.3300000
IMOEX,D,12/25/01,000000,231.6300000
IMOEX,D,12/26/01,000000,230.6600000
IMOEX,D,12/27/01,000000,233.3500000
IMOEX,D,12/28/01,000000,236.2400000
IMOEX,D,12/29/01,000000,237.6300000
IMOEX,D,01/03/02,000000,246.7900000
IMOEX,D,01/04/02,000000,256.9800000
IMOEX,D,01/08/02,000000,268.0100000
IMOEX,D,01/09/02,000000,268.3000000
IMOEX,D,01/10/02,000000,265.3800000
IMOEX,D,01/11/02,000000,265.3300000
IMOEX,D,01/14/02,000000,258.1900000
IMOEX,D,01/15/02,000000,255.8100000
IMOEX,D,01/16/02,000000,258.9100000
IMOEX,D,01/17/02,000000,261.9900000
IMOEX,D,01/18/02,000000,266.0000000
IMOEX,D,01/21/02,000000,266.3900000
IMOEX,D,01/22/02,000000,272.0700000
IMOEX,D,01/23/02,000000,273.7400000
IMOEX,D,01/24/02,000000,263.0800000
IMOEX,D,01/25/02,000000,255.9500000
IMOEX,D,01/28/02,000000,255.9100000
IMOEX,D,01/29/02,000000,262.9400000
IMOEX,D,01/30/02,000000,256.8200000
IMOEX,D,01/31/02,000000,260.7700000
IMOEX,D,02/01/02,000000,262.1300000
IMOEX,D,02/04/02,000000,257.0100000
IMOEX,D,02/05/02,000000,255.0200000
IMOEX,D,02/06/02,000000,260.2600000
IMOEX,D,02/07/02,000000,265.1100000
