Date, Open, High, Low, Close
11/26/21, 50480.50, 50480.50, 49064.67, 49492.52
11/25/21, 50838.21, 50887.88, 50580.49, 50625.00
11/24/21, 51157.06, 51236.58, 50639.43, 50848.03
11/23/21, 50447.83, 51182.78, 50437.77, 51116.32
11/22/21, 50864.01, 50945.89, 50407.28, 50497.08
11/19/21, 50724.29, 50891.39, 50535.11, 50811.30
11/18/21, 51134.91, 51243.97, 50552.45, 50831.95
11/17/21, 51197.98, 51210.84, 50678.34, 51045.10
11/16/21, 51422.13, 51585.64, 51000.91, 51161.50
11/12/21, 51739.88, 51937.37, 51350.36, 51432.54
11/11/21, 51767.80, 51815.51, 51514.88, 51707.01
11/10/21, 52153.94, 52171.25, 51590.52, 51704.40
11/09/21, 52250.49, 52340.00, 51778.03, 52114.12
11/08/21, 52000.21, 52577.33, 51979.51, 52251.49
11/05/21, 51907.27, 52220.40, 51779.24, 51977.96
11/04/21, 51838.63, 51967.41, 51338.69, 51873.46
11/03/21, 51648.84, 51965.52, 51503.13, 51876.81
11/01/21, 51353.61, 51880.02, 51353.61, 51653.26
10/29/21, 51193.84, 51503.58, 50997.11, 51309.84
10/28/21, 51762.00, 51767.42, 51200.40, 51248.84
10/27/21, 52189.61, 52194.23, 51648.86, 51714.60
10/26/21, 52051.63, 52244.72, 51885.63, 52206.59
10/25/21, 51892.32, 52144.97, 51655.96, 51833.80
10/22/21, 51970.58, 52250.55, 51737.39, 51889.66
10/21/21, 52236.10, 52252.39, 51521.94, 52020.05
10/20/21, 52336.63, 52688.22, 52234.78, 52298.20
10/19/21, 52717.29, 52717.61, 52242.73, 52402.73
10/18/21, 52834.71, 52933.14, 52538.12, 52686.03
10/15/21, 52240.94, 52849.88, 52240.94, 52798.38
10/14/21, 51929.75, 52302.08, 51929.75, 52140.24
10/13/21, 51917.71, 51991.07, 51518.21, 51812.87
10/12/21, 51755.23, 52068.86, 51690.48, 51835.88
10/11/21, 51134.60, 51801.47, 51134.60, 51646.75
10/08/21, 50899.34, 51398.45, 50852.65, 51136.62
10/07/21, 51085.86, 51453.54, 50838.97, 50876.98
10/06/21, 50994.42, 51020.01, 50558.16, 50974.49
10/05/21, 50904.96, 51078.85, 50810.83, 51056.94
10/04/21, 51066.24, 51401.89, 50757.86, 50862.94
10/01/21, 51376.69, 51387.25, 50850.65, 51060.05
09/30/21, 51189.91, 51409.39, 50963.83, 51385.55
09/29/21, 50994.36, 51287.88, 50782.30, 51084.61
09/28/21, 51609.54, 51616.93, 50877.22, 50925.52
09/27/21, 51124.42, 51690.95, 51047.94, 51598.53
09/24/21, 51378.92, 51426.34, 51036.46, 51105.71
09/23/21, 51342.13, 51590.70, 51306.94, 51464.27
09/22/21, 50879.63, 51577.56, 50852.03, 51338.34
09/21/21, 50687.46, 50950.38, 50491.29, 50828.13
09/20/21, 51264.30, 51264.30, 50402.92, 50557.65
09/17/21, 52195.21, 52195.21, 51266.34, 51307.71
09/15/21, 51793.58, 52238.50, 51782.90, 52192.33
09/14/21, 51507.76, 51951.76, 51297.20, 51815.17
09/13/21, 51556.83, 52047.35, 51428.82, 51496.71
09/10/21, 51511.20, 51786.72, 51441.00, 51521.80
09/09/21, 51461.26, 51508.73, 51193.67, 51395.06
09/08/21, 51865.48, 51865.48, 51378.67, 51469.72
09/07/21, 52289.73, 52289.81, 51791.64, 51950.45
09/06/21, 51829.95, 52367.52, 51769.53, 52283.11
09/03/21, 52172.94, 52205.95, 51738.85, 51835.09
09/02/21, 52196.98, 52261.41, 51939.15, 52087.47
09/01/21, 53400.27, 53400.27, 52131.20, 52215.54
08/31/21, 52631.33, 53375.89, 52618.47, 53304.74
08/30/21, 52431.05, 52680.50, 52127.32, 52602.07
08/27/21, 52492.13, 52492.13, 52188.92, 52425.64
08/26/21, 52284.26, 52420.06, 51944.50, 52290.69
08/25/21, 52193.72, 52381.39, 51946.51, 52345.39
08/24/21, 52022.73, 52360.99, 51895.28, 51985.00
08/23/21, 51429.90, 52227.91, 51429.90, 52054.64
08/20/21, 51256.25, 51593.34, 50985.80, 51414.32
08/19/21, 51809.99, 51809.99, 50776.99, 51099.36
08/18/21, 51592.38, 52082.54, 51350.17, 51986.08
08/17/21, 51413.63, 51634.48, 51177.56, 51576.58
08/16/21, 51380.05, 51563.67, 51094.73, 51384.91
08/13/21, 51103.57, 51529.07, 51022.77, 51490.94
08/12/21, 51292.84, 51293.05, 51000.12, 51049.69
08/11/21, 51192.91, 51399.80, 51068.03, 51311.60
08/10/21, 50988.27, 51263.49, 50817.79, 51114.16
08/09/21, 51085.95, 51131.20, 50806.24, 50900.46
08/06/21, 51028.76, 51392.71, 51018.84, 51113.85
08/05/21, 51224.17, 51441.55, 50977.63, 51134.93
08/04/21, 51611.28, 51612.53, 50982.29, 51195.43
08/03/21, 50872.26, 51695.23, 50669.77, 51633.91
08/02/21, 50983.80, 51306.35, 50795.90, 50869.48
07/30/21, 51516.66, 51516.66, 50783.45, 50868.32
07/29/21, 51393.26, 51856.68, 51282.66, 51634.60
07/28/21, 50949.97, 51366.97, 50890.45, 51344.11
07/27/21, 50926.17, 51041.12, 50606.13, 50910.53
07/26/21, 50317.57, 51140.35, 50290.84, 50897.79
07/23/21, 50324.57, 50397.11, 50098.56, 50268.45
07/22/21, 50081.46, 50340.15, 49861.69, 50240.51
07/21/21, 49249.50, 50113.99, 49249.50, 50035.17
07/20/21, 49208.44, 49546.30, 49136.65, 49256.97
07/19/21, 49960.78, 49960.78, 48598.09, 49096.47
07/16/21, 50226.67, 50243.80, 49780.32, 50148.13
07/15/21, 49527.18, 50429.90, 49494.90, 50274.85
07/14/21, 49424.11, 49520.42, 49177.01, 49435.88
07/13/21, 49848.76, 49892.27, 49074.73, 49274.97
07/12/21, 49743.45, 49878.44, 49516.40, 49789.12
07/09/21, 49524.89, 49994.50, 49524.89, 49768.35
07/08/21, 49791.51, 49791.51, 49355.13, 49570.87
07/07/21, 50129.01, 50219.46, 49757.94, 50052.91
07/06/21, 50598.76, 50598.76, 49643.96, 50048.89
07/05/21, 50239.28, 50609.40, 50239.28, 50552.80
07/02/21, 50351.27, 50360.46, 50162.72, 50223.01
07/01/21, 50244.02, 50541.85, 50118.81, 50376.89
06/30/21, 50350.65, 50469.99, 50020.23, 50289.75
06/29/21, 50326.00, 50444.62, 50156.13, 50337.36
06/28/21, 50568.34, 50677.57, 50103.75, 50351.21
06/25/21, 50496.86, 50690.12, 50434.54, 50549.86
06/24/21, 50316.67, 50682.13, 50040.74, 50558.32
06/23/21, 50164.08, 50531.76, 50044.39, 50170.78
06/22/21, 50391.18, 50437.75, 49832.11, 50129.88
06/21/21, 50320.13, 50447.32, 50107.06, 50315.69
06/18/21, 50121.09, 50522.11, 49848.05, 50319.57
06/17/21, 50599.94, 50952.32, 49995.08, 50202.80
06/16/21, 50944.13, 50951.77, 50419.10, 50579.10
06/15/21, 51092.74, 51097.20, 50807.59, 50908.18
06/14/21, 51293.62, 51322.62, 50982.52, 51029.54
06/11/21, 51052.90, 51434.75, 50948.89, 51286.46
06/10/21, 50938.64, 51194.84, 50782.62, 50886.33
06/09/21, 50853.20, 50975.58, 50670.32, 50823.30
06/08/21, 51391.52, 51391.52, 50703.96, 50865.21
06/07/21, 50500.96, 51705.23, 50493.74, 51427.64
06/04/21, 50629.32, 50683.46, 50222.91, 50484.35
06/03/21, 50716.02, 50768.30, 50249.11, 50628.77
06/02/21, 50762.46, 51077.29, 50666.96, 50749.64
06/01/21, 50943.24, 51037.42, 50603.26, 50722.35
05/31/21, 50023.39, 51066.86, 49952.80, 50885.95
05/28/21, 49784.99, 50111.66, 49411.04, 50040.74
05/27/21, 49188.02, 49727.80, 49148.06, 49627.95
05/26/21, 48931.69, 49254.61, 48907.68, 49103.50
05/25/21, 49450.20, 49515.17, 48781.83, 48826.95
05/24/21, 49847.30, 49853.77, 49352.07, 49457.93
05/21/21, 49975.96, 49997.82, 49376.53, 49778.81
05/20/21, 49604.97, 49980.46, 49160.06, 49907.36
05/19/21, 49563.59, 49563.59, 48906.32, 49382.25
05/18/21, 49500.19, 49973.83, 49486.91, 49789.31
05/17/21, 49223.36, 49401.57, 49049.83, 49371.98
05/14/21, 48829.59, 49365.62, 48829.59, 49219.26
05/13/21, 48906.10, 49179.10, 48704.24, 48829.31
05/12/21, 49675.58, 49675.58, 48707.58, 48748.41
05/11/21, 49542.78, 49704.62, 49226.23, 49655.29
05/10/21, 49295.96, 50124.60, 49295.96, 49867.15
05/07/21, 48988.67, 49440.88, 48894.83, 49249.02
05/06/21, 48570.64, 49006.27, 48456.38, 48934.91
05/05/21, 48366.27, 48723.80, 48341.37, 48399.80
05/04/21, 48498.72, 48528.39, 48089.57, 48328.20
05/03/21, 48191.68, 48585.49, 48191.68, 48498.64
04/30/21, 48671.27, 48911.90, 47924.10, 48009.72
04/29/21, 48799.87, 49364.38, 48714.07, 48897.79
04/28/21, 48840.92, 48988.18, 48432.57, 48487.94
04/27/21, 49115.08, 49399.62, 48744.87, 48812.17
04/26/21, 49188.00, 49313.32, 48862.42, 48923.93
04/23/21, 49087.04, 49226.26, 48760.21, 49091.09
04/22/21, 48961.05, 49161.19, 48663.53, 49092.31
04/21/21, 48476.61, 49021.63, 48476.61, 48867.62
04/20/21, 48073.44, 48559.17, 47877.71, 48528.97
04/19/21, 48712.02, 48759.76, 48029.71, 48072.62
04/16/21, 48513.34, 48947.19, 48412.44, 48726.98
04/15/21, 48322.98, 48685.44, 48195.31, 48514.10
04/14/21, 47949.15, 48380.75, 47848.66, 48329.84
04/13/21, 47356.84, 47544.19, 47138.34, 47503.71
04/12/21, 47576.32, 47754.52, 47253.46, 47352.18
04/09/21, 48185.08, 48253.12, 47588.93, 47627.67
04/08/21, 47853.56, 48315.32, 47756.98, 48188.15
04/07/21, 47571.55, 48053.16, 47478.62, 47897.84
04/06/21, 48238.67, 48238.67, 47876.09, 47985.43
04/05/21, 47575.61, 48335.52, 47487.52, 48245.85
03/31/21, 47838.29, 47865.05, 47030.76, 47246.26
03/30/21, 47736.99, 47936.57, 47327.23, 47905.00
03/29/21, 47430.78, 47790.12, 47141.57, 47747.36
03/26/21, 47354.22, 47490.08, 46628.02, 47379.19
03/25/21, 46524.56, 47062.64, 46372.90, 47012.37
03/24/21, 46755.87, 46928.46, 46559.37, 46703.14
03/23/21, 47309.24, 47309.24, 46603.52, 46659.18
03/22/21, 47123.11, 47567.62, 47009.60, 47225.44
03/19/21, 47422.25, 47654.13, 46932.67, 47028.04
