Date, Open, High, Low, Close, Volume
11/26/21, 1025, 1025, 1006, 1006, 65600
11/25/21, 1015, 1032, 1015, 1025, 139800
11/24/21, 1012, 1015, 1011, 1011, 3300
11/23/21, 1013, 1014, 1012, 1012, 3500
11/22/21, 1012, 1025, 1010, 1010, 29700
11/19/21, 1005, 1019, 1005, 1012, 7900
11/18/21, 1010, 1010, 1005, 1005, 13000
11/17/21, 1000, 1010, 1000, 1010, 7400
11/16/21, 1005, 1005, 995, 1000, 28100
11/15/21, 1013, 1013, 1000, 1005, 16800
11/12/21, 1015, 1020, 1010, 1013, 12200
11/11/21, 1019, 1021, 1015, 1020, 26600
11/10/21, 1024, 1024, 1005, 1019, 93900
11/09/21, 1025, 1025, 1020, 1024, 38200
11/08/21, 1016, 1025, 1010, 1020, 30700
11/05/21, 1027, 1027, 1010, 1016, 10000
11/04/21, 1010, 1027, 1010, 1021, 10100
11/03/21, 1000, 1010, 995, 1010, 133000
11/02/21, 1020, 1027, 1004, 1005, 75700
11/01/21, 1028, 1028, 1020, 1020, 98700
10/29/21, 1013, 1027, 1011, 1015, 15500
10/28/21, 1020, 1020, 1011, 1011, 14600
10/27/21, 1040, 1040, 1016, 1025, 149100
10/26/21, 1044, 1044, 1030, 1040, 14600
10/25/21, 1045, 1048, 1030, 1030, 11000
10/22/21, 1040, 1046, 1027, 1045, 35500
10/21/21, 1045, 1050, 1040, 1040, 25500
10/19/21, 1050, 1050, 1040, 1045, 21300
10/18/21, 1055, 1055, 1035, 1050, 115900
10/15/21, 1045, 1046, 1028, 1035, 68200
10/14/21, 1025, 1050, 1025, 1045, 79100
10/13/21, 1008, 1025, 1008, 1021, 53500
10/12/21, 1000, 1010, 1000, 1008, 33600
10/11/21, 995, 1010, 995, 1000, 79200
10/08/21, 985, 1000, 985, 995, 170200
10/07/21, 985, 990, 979, 985, 34200
10/06/21, 970, 987, 970, 985, 103000
10/05/21, 960, 978, 960, 965, 130900
10/04/21, 940, 961, 940, 960, 57400
10/01/21, 943, 954, 938, 940, 61800
09/30/21, 927, 948, 927, 943, 35100
09/29/21, 915, 927, 915, 927, 3700
09/28/21, 919, 919, 918, 919, 13300
09/27/21, 920, 926, 919, 919, 11000
09/24/21, 930, 930, 915, 920, 9100
09/23/21, 910, 920, 910, 920, 4600
09/22/21, 905, 910, 905, 908, 50900
09/21/21, 905, 906, 895, 905, 11600
09/20/21, 915, 915, 905, 910, 20400
