<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEXBC,D,01/18/10,000000,10316.9400000
MOEXBC,D,01/19/10,000000,10389.2500000
MOEXBC,D,01/20/10,000000,10162.4400000
MOEXBC,D,01/21/10,000000,9981.9100000
MOEXBC,D,01/22/10,000000,9796.3200000
MOEXBC,D,01/25/10,000000,9843.3000000
MOEXBC,D,01/26/10,000000,9666.3600000
MOEXBC,D,01/27/10,000000,9640.8800000
MOEXBC,D,01/28/10,000000,9692.1800000
MOEXBC,D,01/29/10,000000,9729.8600000
MOEXBC,D,02/01/10,000000,9822.0200000
MOEXBC,D,02/02/10,000000,9960.0200000
MOEXBC,D,02/03/10,000000,9936.5800000
MOEXBC,D,02/04/10,000000,9563.8900000
MOEXBC,D,02/05/10,000000,9307.3200000
MOEXBC,D,02/08/10,000000,9230.2400000
MOEXBC,D,02/09/10,000000,9202.9900000
MOEXBC,D,02/10/10,000000,9184.7600000
MOEXBC,D,02/11/10,000000,9235.8500000
MOEXBC,D,02/12/10,000000,9017.1600000
MOEXBC,D,02/15/10,000000,9084.4400000
MOEXBC,D,02/16/10,000000,9406.1200000
MOEXBC,D,02/17/10,000000,9352.2700000
MOEXBC,D,02/18/10,000000,9224.4300000
MOEXBC,D,02/19/10,000000,9382.8200000
MOEXBC,D,02/24/10,000000,9226.9100000
MOEXBC,D,02/25/10,000000,8970.2500000
MOEXBC,D,02/26/10,000000,9104.2300000
MOEXBC,D,02/27/10,000000,9121.6800000
MOEXBC,D,03/01/10,000000,9326.2300000
MOEXBC,D,03/02/10,000000,9409.8400000
MOEXBC,D,03/03/10,000000,9549.3500000
MOEXBC,D,03/04/10,000000,9556.7700000
MOEXBC,D,03/05/10,000000,9765.4500000
MOEXBC,D,03/09/10,000000,9777.9000000
MOEXBC,D,03/10/10,000000,9649.8800000
MOEXBC,D,03/11/10,000000,9618.8900000
MOEXBC,D,03/12/10,000000,9763.3400000
MOEXBC,D,03/15/10,000000,9650.4800000
MOEXBC,D,03/16/10,000000,9774.9700000
MOEXBC,D,03/17/10,000000,9903.8500000
MOEXBC,D,03/18/10,000000,9898.9100000
MOEXBC,D,03/19/10,000000,9788.6200000
MOEXBC,D,03/22/10,000000,9809.5800000
MOEXBC,D,03/23/10,000000,9700.5600000
MOEXBC,D,03/24/10,000000,9677.6000000
MOEXBC,D,03/25/10,000000,9668.1600000
MOEXBC,D,03/26/10,000000,9645.3700000
MOEXBC,D,03/29/10,000000,9883.1200000
MOEXBC,D,03/30/10,000000,9865.9800000
MOEXBC,D,03/31/10,000000,9961.7200000
MOEXBC,D,04/01/10,000000,10179.9700000
MOEXBC,D,04/02/10,000000,10162.6600000
MOEXBC,D,04/05/10,000000,10214.6200000
MOEXBC,D,04/06/10,000000,10314.7700000
MOEXBC,D,04/07/10,000000,10182.1400000
MOEXBC,D,04/08/10,000000,10133.2600000
MOEXBC,D,04/09/10,000000,10274.1600000
MOEXBC,D,04/12/10,000000,10315.4900000
MOEXBC,D,04/13/10,000000,10302.7200000
MOEXBC,D,04/14/10,000000,10514.8000000
MOEXBC,D,04/15/10,000000,10483.5600000
MOEXBC,D,04/16/10,000000,10179.3500000
MOEXBC,D,04/19/10,000000,10014.3700000
MOEXBC,D,04/20/10,000000,10137.7100000
MOEXBC,D,04/21/10,000000,10063.2400000
MOEXBC,D,04/22/10,000000,9905.6300000
MOEXBC,D,04/23/10,000000,10045.3100000
MOEXBC,D,04/26/10,000000,10158.8600000
MOEXBC,D,04/27/10,000000,9936.5200000
MOEXBC,D,04/28/10,000000,9779.3400000
MOEXBC,D,04/29/10,000000,9960.1400000
MOEXBC,D,04/30/10,000000,9791.8700000
MOEXBC,D,05/04/10,000000,9498.7800000
MOEXBC,D,05/05/10,000000,9444.7200000
MOEXBC,D,05/06/10,000000,9340.5800000
MOEXBC,D,05/07/10,000000,8839.9900000
MOEXBC,D,05/11/10,000000,9296.8600000
MOEXBC,D,05/12/10,000000,9608.4400000
MOEXBC,D,05/13/10,000000,9504.0400000
MOEXBC,D,05/14/10,000000,9236.6600000
MOEXBC,D,05/17/10,000000,9275.9400000
MOEXBC,D,05/18/10,000000,9222.6600000
MOEXBC,D,05/19/10,000000,9093.1200000
MOEXBC,D,05/20/10,000000,8658.9200000
MOEXBC,D,05/21/10,000000,8627.8900000
MOEXBC,D,05/24/10,000000,8668.7700000
MOEXBC,D,05/25/10,000000,8309.3700000
MOEXBC,D,05/26/10,000000,8578.5200000
MOEXBC,D,05/27/10,000000,9023.1500000
MOEXBC,D,05/28/10,000000,8945.8700000
MOEXBC,D,05/31/10,000000,9161.8500000
MOEXBC,D,06/01/10,000000,9095.2600000
MOEXBC,D,06/02/10,000000,9317.3400000
MOEXBC,D,06/03/10,000000,9329.0400000
MOEXBC,D,06/04/10,000000,9044.6600000
MOEXBC,D,06/07/10,000000,9022.2600000
MOEXBC,D,06/08/10,000000,9034.1600000
MOEXBC,D,06/09/10,000000,9027.1600000
MOEXBC,D,06/10/10,000000,9294.5700000
MOEXBC,D,06/11/10,000000,9204.5100000
MOEXBC,D,06/15/10,000000,9527.1300000
MOEXBC,D,06/16/10,000000,9439.8500000
MOEXBC,D,06/17/10,000000,9334.9800000
MOEXBC,D,06/18/10,000000,9433.6900000
MOEXBC,D,06/21/10,000000,9623.4300000
MOEXBC,D,06/22/10,000000,9505.3400000
MOEXBC,D,06/23/10,000000,9517.9100000
MOEXBC,D,06/24/10,000000,9386.1100000
MOEXBC,D,06/25/10,000000,9299.1200000
MOEXBC,D,06/28/10,000000,9376.5300000
MOEXBC,D,06/29/10,000000,9081.4000000
MOEXBC,D,06/30/10,000000,8936.6700000
MOEXBC,D,07/01/10,000000,8637.0200000
MOEXBC,D,07/02/10,000000,8816.4300000
MOEXBC,D,07/05/10,000000,8821.1600000
MOEXBC,D,07/06/10,000000,9010.1500000
MOEXBC,D,07/07/10,000000,9160.5500000
MOEXBC,D,07/08/10,000000,9057.0400000
MOEXBC,D,07/09/10,000000,9090.0100000
MOEXBC,D,07/12/10,000000,9223.2300000
MOEXBC,D,07/13/10,000000,9429.7700000
MOEXBC,D,07/14/10,000000,9332.4700000
MOEXBC,D,07/15/10,000000,9244.7400000
MOEXBC,D,07/16/10,000000,9063.4300000
MOEXBC,D,07/19/10,000000,9217.3800000
MOEXBC,D,07/20/10,000000,9197.0500000
MOEXBC,D,07/21/10,000000,9263.6600000
MOEXBC,D,07/22/10,000000,9509.6200000
MOEXBC,D,07/23/10,000000,9579.0200000
MOEXBC,D,07/26/10,000000,9658.9400000
MOEXBC,D,07/27/10,000000,9691.7500000
MOEXBC,D,07/28/10,000000,9637.7200000
MOEXBC,D,07/29/10,000000,9785.7600000
MOEXBC,D,07/30/10,000000,9673.9200000
MOEXBC,D,08/02/10,000000,9918.2900000
MOEXBC,D,08/03/10,000000,9746.3100000
MOEXBC,D,08/04/10,000000,9807.4800000
MOEXBC,D,08/05/10,000000,9772.4400000
MOEXBC,D,08/06/10,000000,9662.6200000
MOEXBC,D,08/09/10,000000,9809.7600000
MOEXBC,D,08/10/10,000000,9685.2400000
MOEXBC,D,08/11/10,000000,9466.0100000
MOEXBC,D,08/12/10,000000,9480.8100000
MOEXBC,D,08/13/10,000000,9426.7300000
MOEXBC,D,08/16/10,000000,9439.4500000
MOEXBC,D,08/17/10,000000,9601.2700000
MOEXBC,D,08/18/10,000000,9543.0000000
MOEXBC,D,08/19/10,000000,9432.1800000
MOEXBC,D,08/20/10,000000,9377.9100000
MOEXBC,D,08/23/10,000000,9330.0700000
MOEXBC,D,08/24/10,000000,9212.3300000
MOEXBC,D,08/25/10,000000,9221.2100000
MOEXBC,D,08/26/10,000000,9251.8600000
MOEXBC,D,08/27/10,000000,9406.4200000
MOEXBC,D,08/30/10,000000,9351.9600000
MOEXBC,D,08/31/10,000000,9334.6200000
MOEXBC,D,09/01/10,000000,9594.7300000
MOEXBC,D,09/02/10,000000,9649.9700000
MOEXBC,D,09/03/10,000000,9680.1000000
MOEXBC,D,09/06/10,000000,9673.2800000
MOEXBC,D,09/07/10,000000,9569.0800000
MOEXBC,D,09/08/10,000000,9733.9300000
MOEXBC,D,09/09/10,000000,9836.4200000
MOEXBC,D,09/10/10,000000,9811.0900000
MOEXBC,D,09/13/10,000000,9856.6700000
MOEXBC,D,09/14/10,000000,9778.5700000
MOEXBC,D,09/15/10,000000,9830.7300000
MOEXBC,D,09/16/10,000000,9772.2200000
MOEXBC,D,09/17/10,000000,9643.0800000
MOEXBC,D,09/20/10,000000,9748.5700000
