Date, Open, High, Low, Close
11/26/21, 10008.50, 10008.50, 9932.34, 9949.76
11/25/21, 10055.89, 10065.07, 10012.43, 10028.90
11/24/21, 10046.87, 10091.65, 10004.00, 10052.75
11/23/21, 10013.60, 10080.29, 10008.88, 10048.10
11/22/21, 10005.31, 10044.31, 10001.89, 10019.34
11/19/21, 9872.51, 10003.79, 9869.38, 9996.06
11/18/21, 9940.73, 9940.73, 9857.01, 9882.84
11/17/21, 9964.83, 9990.49, 9933.97, 9969.30
11/16/21, 9987.58, 10047.80, 9962.46, 9977.43
11/15/21, 10024.57, 10057.92, 9953.19, 9989.58
11/12/21, 10041.61, 10056.18, 9990.13, 10008.85
11/11/21, 9862.10, 10030.40, 9851.95, 10029.27
11/10/21, 9909.95, 9909.95, 9743.86, 9873.28
11/09/21, 9974.67, 9999.40, 9888.79, 9938.93
11/08/21, 9929.22, 9987.58, 9905.17, 9943.64
11/05/21, 9963.99, 10026.74, 9930.56, 9931.20
11/04/21, 9948.41, 10004.10, 9933.00, 9987.00
11/03/21, 9962.77, 9996.88, 9880.90, 9915.52
11/02/21, 10077.62, 10129.29, 9894.83, 9975.62
11/01/21, 10080.67, 10117.39, 10038.14, 10089.79
10/29/21, 10053.51, 10141.29, 10040.24, 10141.29
10/28/21, 10086.36, 10112.12, 10017.51, 10047.79
10/27/21, 10201.94, 10201.94, 10083.02, 10112.44
10/26/21, 10260.94, 10312.24, 10200.20, 10222.64
10/25/21, 10163.35, 10267.39, 10146.65, 10259.72
10/22/21, 10176.69, 10280.29, 10160.38, 10213.75
10/21/21, 10118.40, 10210.19, 10099.54, 10166.10
10/20/21, 10121.07, 10154.66, 10077.76, 10109.67
10/19/21, 10022.44, 10134.10, 10018.91, 10116.52
10/18/21, 10141.20, 10141.20, 9979.80, 10033.84
10/15/21, 10069.69, 10168.10, 10047.83, 10148.19
10/14/21, 10136.45, 10175.11, 10084.00, 10106.33
10/13/21, 10048.67, 10183.98, 10015.36, 10152.42
10/12/21, 10115.92, 10120.17, 9968.91, 10058.08
10/11/21, 10141.13, 10239.46, 10139.81, 10150.59
10/08/21, 10108.91, 10144.85, 10058.42, 10119.49
09/30/21, 9978.31, 10019.37, 9966.05, 10001.85
09/29/21, 9973.02, 10027.65, 9884.61, 9958.42
09/28/21, 10009.93, 10084.09, 9968.63, 10054.57
09/27/21, 10033.07, 10118.35, 9962.03, 10026.03
09/24/21, 10010.21, 10097.36, 9982.40, 9997.29
09/23/21, 10027.36, 10103.28, 9992.28, 10024.20
09/22/21, 9842.06, 9992.85, 9831.51, 9979.00
09/17/21, 9917.15, 10020.46, 9897.97, 10020.13
09/16/21, 10062.79, 10094.33, 9939.51, 9943.66
09/15/21, 10126.89, 10143.90, 9998.95, 10052.43
09/14/21, 10332.57, 10340.73, 10128.12, 10148.86
09/13/21, 10339.64, 10396.05, 10279.00, 10340.39
09/10/21, 10259.60, 10434.14, 10253.82, 10361.13
09/09/21, 10205.65, 10264.26, 10187.89, 10263.82
09/08/21, 10306.38, 10348.78, 10224.81, 10254.83
