Date, Open, High, Low, Close
11/26/21, 1811.07, 1811.07, 1760.80, 1776.41
11/25/21, 1816.38, 1833.76, 1805.97, 1819.23
11/24/21, 1798.96, 1834.51, 1798.96, 1812.30
11/23/21, 1756.71, 1791.82, 1746.36, 1784.56
11/22/21, 1751.05, 1759.16, 1741.17, 1755.48
11/19/21, 1748.72, 1759.06, 1727.62, 1737.33
11/18/21, 1710.05, 1759.19, 1697.86, 1736.88
11/17/21, 1683.10, 1712.90, 1683.10, 1707.04
11/16/21, 1715.41, 1725.02, 1681.78, 1685.60
11/15/21, 1672.35, 1710.79, 1672.35, 1702.49
11/12/21, 1631.43, 1642.76, 1631.43, 1638.50
11/11/21, 1622.02, 1643.82, 1621.49, 1625.06
11/10/21, 1618.06, 1627.22, 1603.78, 1624.09
11/09/21, 1612.01, 1631.45, 1605.41, 1615.64
11/08/21, 1589.43, 1609.07, 1589.23, 1608.54
11/05/21, 1575.83, 1586.59, 1568.82, 1583.59
11/04/21, 1562.15, 1577.36, 1562.15, 1575.67
11/03/21, 1532.93, 1547.03, 1491.67, 1547.03
11/02/21, 1538.77, 1545.88, 1528.42, 1533.05
11/01/21, 1522.28, 1538.52, 1516.24, 1536.32
10/28/21, 1518.91, 1524.65, 1516.54, 1522.04
10/27/21, 1507.77, 1520.66, 1503.03, 1519.25
10/26/21, 1501.17, 1512.74, 1501.17, 1509.20
10/25/21, 1474.97, 1495.10, 1470.59, 1492.93
10/22/21, 1456.07, 1484.89, 1453.97, 1479.93
10/21/21, 1433.29, 1455.42, 1417.21, 1455.42
10/20/21, 1432.24, 1437.93, 1427.67, 1432.80
10/19/21, 1423.81, 1434.67, 1423.81, 1429.85
10/18/21, 1411.38, 1419.22, 1407.87, 1417.70
10/15/21, 1417.45, 1421.69, 1397.15, 1409.56
10/14/21, 1412.17, 1422.44, 1407.88, 1411.75
10/13/21, 1421.31, 1432.13, 1408.21, 1413.54
10/12/21, 1409.42, 1423.02, 1408.01, 1416.82
10/11/21, 1401.59, 1419.70, 1401.59, 1416.30
10/08/21, 1398.04, 1404.60, 1393.56, 1398.00
10/07/21, 1385.05, 1397.93, 1385.05, 1396.92
10/06/21, 1390.72, 1392.40, 1371.54, 1371.69
10/05/21, 1396.11, 1396.44, 1388.54, 1391.65
10/04/21, 1402.73, 1407.84, 1394.37, 1394.37
10/01/21, 1398.93, 1407.79, 1394.55, 1401.46
09/30/21, 1393.64, 1409.19, 1386.09, 1406.39
09/29/21, 1392.13, 1396.67, 1389.85, 1391.92
09/28/21, 1391.44, 1393.38, 1379.13, 1383.77
09/27/21, 1393.19, 1397.71, 1380.81, 1391.74
09/24/21, 1397.36, 1397.36, 1376.01, 1384.68
09/23/21, 1409.28, 1417.45, 1394.35, 1401.46
09/22/21, 1393.25, 1407.46, 1385.48, 1407.46
09/21/21, 1400.84, 1403.76, 1383.35, 1385.61
09/20/21, 1407.67, 1407.67, 1386.33, 1391.91
09/17/21, 1424.04, 1427.07, 1412.23, 1419.43
09/16/21, 1423.95, 1434.74, 1412.78, 1418.03
09/15/21, 1433.86, 1440.90, 1420.38, 1423.97
09/14/21, 1440.67, 1443.50, 1428.96, 1434.43
09/13/21, 1439.75, 1447.96, 1433.75, 1438.28
09/10/21, 1455.46, 1457.10, 1437.62, 1438.72
09/09/21, 1430.98, 1452.67, 1427.77, 1452.67
09/08/21, 1454.83, 1457.27, 1432.54, 1433.85
09/07/21, 1474.21, 1476.33, 1454.74, 1454.74
09/06/21, 1469.75, 1478.73, 1469.75, 1474.72
09/03/21, 1480.35, 1482.11, 1464.80, 1468.67
09/02/21, 1474.85, 1484.95, 1472.05, 1479.12
09/01/21, 1475.62, 1478.96, 1468.42, 1474.13
08/31/21, 1467.18, 1474.47, 1463.01, 1472.07
08/27/21, 1450.87, 1458.23, 1444.11, 1458.23
08/26/21, 1456.00, 1463.79, 1445.17, 1448.52
08/25/21, 1465.28, 1471.43, 1451.92, 1453.30
08/24/21, 1465.18, 1472.46, 1463.91, 1465.89
08/23/21, 1454.91, 1463.07, 1453.68, 1459.33
08/20/21, 1439.62, 1449.27, 1432.40, 1444.63
08/19/21, 1441.38, 1445.74, 1433.85, 1439.86
08/18/21, 1465.81, 1467.16, 1448.48, 1449.59
08/17/21, 1454.14, 1461.69, 1449.58, 1461.69
08/16/21, 1451.33, 1461.96, 1451.33, 1455.25
08/13/21, 1444.82, 1449.25, 1440.09, 1447.64
08/12/21, 1419.69, 1447.63, 1419.69, 1444.46
08/11/21, 1438.92, 1439.48, 1409.81, 1410.87
08/10/21, 1429.51, 1441.81, 1426.47, 1437.46
08/09/21, 1436.85, 1443.29, 1431.75, 1432.61
08/06/21, 1433.60, 1440.53, 1425.06, 1434.76
08/05/21, 1409.05, 1431.78, 1407.56, 1431.78
08/04/21, 1411.90, 1422.34, 1411.90, 1413.80
08/03/21, 1402.26, 1409.36, 1394.27, 1408.81
08/02/21, 1397.98, 1405.63, 1394.66, 1399.65
07/30/21, 1383.25, 1392.91, 1380.02, 1392.91
07/29/21, 1370.52, 1393.37, 1370.52, 1391.64
07/28/21, 1358.79, 1367.63, 1355.23, 1360.75
07/27/21, 1348.08, 1360.50, 1341.93, 1359.55
07/26/21, 1355.54, 1362.57, 1345.52, 1349.11
07/19/21, 1357.93, 1357.93, 1348.39, 1351.59
07/16/21, 1370.32, 1373.63, 1356.95, 1363.28
07/14/21, 1349.22, 1368.98, 1349.22, 1367.25
07/13/21, 1358.27, 1360.14, 1341.52, 1346.84
07/12/21, 1378.63, 1382.45, 1355.23, 1356.96
07/09/21, 1374.44, 1381.74, 1371.53, 1378.28
07/08/21, 1387.74, 1390.89, 1372.54, 1372.98
07/07/21, 1384.57, 1392.84, 1383.97, 1390.58
07/06/21, 1394.72, 1399.90, 1382.58, 1382.58
07/05/21, 1375.97, 1392.64, 1375.72, 1392.64
07/02/21, 1376.88, 1379.79, 1367.68, 1376.67
07/01/21, 1358.20, 1372.78, 1358.20, 1372.78
06/30/21, 1374.94, 1376.71, 1352.23, 1356.34
06/29/21, 1371.96, 1374.74, 1351.64, 1371.67
06/28/21, 1395.16, 1397.55, 1368.24, 1373.25
06/25/21, 1413.99, 1414.88, 1391.69, 1391.86
06/24/21, 1405.26, 1416.14, 1405.17, 1410.79
06/23/21, 1415.44, 1419.77, 1401.32, 1402.35
06/22/21, 1402.88, 1411.44, 1394.25, 1409.85
06/21/21, 1388.20, 1398.52, 1378.34, 1398.52
06/18/21, 1417.95, 1422.29, 1388.71, 1391.06
06/17/21, 1423.00, 1429.23, 1413.58, 1414.15
06/16/21, 1441.36, 1444.79, 1431.31, 1431.31
06/15/21, 1451.06, 1456.56, 1431.70, 1442.56
06/14/21, 1466.57, 1468.95, 1450.67, 1454.25
06/11/21, 1461.22, 1464.49, 1455.39, 1460.86
06/10/21, 1453.24, 1461.97, 1449.64, 1456.68
06/09/21, 1449.85, 1453.36, 1445.69, 1449.17
06/08/21, 1447.49, 1453.90, 1443.39, 1447.59
06/07/21, 1433.96, 1450.55, 1432.64, 1447.08
06/04/21, 1428.91, 1435.24, 1427.40, 1432.93
06/03/21, 1434.72, 1441.15, 1411.52, 1428.13
06/02/21, 1420.40, 1434.79, 1418.77, 1430.73
06/01/21, 1424.47, 1433.55, 1423.00, 1432.04
05/31/21, 1423.09, 1427.44, 1414.32, 1420.49
05/28/21, 1413.12, 1422.80, 1401.25, 1422.06
05/27/21, 1426.55, 1428.87, 1411.46, 1415.03
05/26/21, 1413.12, 1427.06, 1392.87, 1427.06
05/25/21, 1457.48, 1459.26, 1400.22, 1400.22
05/24/21, 1453.69, 1457.77, 1441.70, 1452.18
05/21/21, 1456.44, 1462.28, 1449.28, 1451.84
05/20/21, 1451.87, 1454.81, 1439.36, 1449.82
05/18/21, 1461.15, 1465.56, 1459.57, 1459.57
05/17/21, 1446.96, 1455.48, 1445.61, 1454.25
05/12/21, 1441.41, 1444.98, 1437.66, 1441.33
05/11/21, 1447.96, 1455.89, 1438.38, 1444.87
05/10/21, 1448.99, 1462.47, 1447.91, 1460.90
05/07/21, 1432.25, 1444.79, 1423.39, 1441.33
05/06/21, 1422.56, 1434.72, 1422.56, 1427.73
05/05/21, 1419.58, 1425.04, 1409.33, 1420.00
05/04/21, 1423.21, 1428.07, 1411.00, 1416.25
05/03/21, 1400.15, 1421.15, 1400.15, 1421.15
04/30/21, 1399.05, 1405.91, 1396.49, 1397.82
04/29/21, 1390.92, 1406.51, 1390.92, 1401.52
04/28/21, 1391.47, 1394.64, 1379.93, 1385.91
04/27/21, 1381.73, 1397.61, 1381.73, 1392.00
04/26/21, 1343.85, 1374.00, 1343.58, 1374.00
04/22/21, 1320.16, 1345.50, 1309.23, 1345.15
04/21/21, 1363.87, 1365.50, 1308.52, 1330.48
04/20/21, 1376.37, 1385.88, 1357.26, 1365.27
04/19/21, 1409.85, 1416.03, 1377.23, 1377.23
04/16/21, 1405.50, 1412.56, 1400.49, 1408.14
04/15/21, 1409.76, 1418.52, 1398.28, 1407.76
04/14/21, 1380.71, 1409.19, 1380.71, 1409.19
04/13/21, 1380.11, 1386.36, 1352.74, 1378.37
04/12/21, 1393.47, 1398.12, 1374.67, 1375.91
04/09/21, 1413.18, 1414.95, 1373.65, 1393.24
04/08/21, 1422.22, 1430.34, 1415.06, 1416.55
04/07/21, 1420.94, 1422.48, 1402.36, 1417.89
04/06/21, 1442.88, 1445.13, 1419.66, 1420.59
04/05/21, 1428.99, 1443.02, 1428.88, 1442.06
04/02/21, 1434.91, 1438.88, 1423.51, 1430.19
04/01/21, 1399.34, 1426.56, 1399.34, 1426.56
03/31/21, 1397.47, 1403.75, 1389.86, 1391.73
03/30/21, 1392.84, 1400.77, 1371.43, 1395.79
03/29/21, 1385.74, 1398.89, 1382.47, 1392.57
03/26/21, 1409.20, 1412.35, 1359.15, 1382.15
03/25/21, 1416.99, 1432.62, 1394.19, 1394.36
03/24/21, 1377.37, 1421.93, 1371.72, 1413.86
03/23/21, 1335.76, 1402.99, 1256.32, 1377.43
03/22/21, 1491.99, 1491.99, 1378.56, 1379.25
03/19/21, 1548.53, 1553.93, 1511.29, 1528.99
03/18/21, 1567.79, 1574.56, 1548.24, 1550.93
03/17/21, 1574.78, 1589.47, 1562.11, 1562.11
03/16/21, 1561.41, 1572.91, 1557.54, 1570.42
03/15/21, 1558.78, 1566.39, 1553.49, 1555.47
03/12/21, 1558.33, 1561.65, 1549.31, 1557.39
03/11/21, 1574.58, 1580.03, 1551.88, 1556.49
03/10/21, 1551.30, 1565.97, 1551.30, 1564.94
03/09/21, 1542.04, 1553.23, 1534.99, 1549.15
03/08/21, 1549.62, 1553.81, 1526.58, 1530.27
03/05/21, 1534.40, 1546.08, 1528.47, 1541.98
03/04/21, 1527.07, 1542.65, 1523.20, 1538.04
03/03/21, 1538.80, 1553.96, 1526.54, 1531.05
03/02/21, 1526.36, 1537.46, 1518.51, 1528.82
03/01/21, 1491.88, 1527.45, 1491.13, 1527.45
02/26/21, 1457.18, 1480.04, 1443.17, 1471.39
02/25/21, 1510.32, 1514.81, 1460.36, 1488.21
02/24/21, 1506.53, 1523.19, 1483.02, 1483.02
02/23/21, 1558.03, 1560.29, 1515.25, 1517.86
02/22/21, 1563.08, 1569.84, 1547.49, 1550.61
02/19/21, 1551.54, 1567.42, 1550.14, 1560.34
02/18/21, 1548.04, 1562.83, 1544.22, 1546.41
02/17/21, 1550.49, 1553.41, 1529.93, 1540.59
02/16/21, 1569.12, 1575.70, 1522.08, 1542.82
02/15/21, 1551.12, 1565.83, 1547.38, 1562.49
02/12/21, 1542.50, 1548.69, 1526.72, 1538.44
02/11/21, 1548.69, 1558.08, 1543.67, 1545.59
02/10/21, 1553.41, 1556.70, 1536.44, 1547.11
02/09/21, 1538.53, 1551.83, 1535.59, 1544.05
02/08/21, 1540.22, 1542.44, 1519.00, 1534.91
02/05/21, 1544.79, 1549.51, 1527.17, 1527.17
02/04/21, 1537.65, 1544.63, 1530.82, 1534.90
02/03/21, 1520.70, 1533.55, 1509.18, 1533.55
02/02/21, 1505.09, 1517.53, 1500.04, 1511.43
02/01/21, 1484.86, 1500.88, 1471.54, 1492.45
01/29/21, 1485.21, 1495.54, 1469.55, 1473.45
01/28/21, 1453.37, 1498.43, 1431.32, 1498.32
01/27/21, 1536.13, 1541.01, 1467.00, 1467.00
01/26/21, 1538.03, 1548.61, 1516.81, 1536.11
01/25/21, 1556.57, 1560.13, 1536.97, 1540.21
01/22/21, 1551.47, 1555.59, 1525.93, 1542.44
01/21/21, 1578.03, 1582.04, 1551.57, 1551.57
01/20/21, 1573.37, 1574.30, 1552.10, 1569.35
01/19/21, 1569.56, 1578.30, 1561.02, 1565.01
01/18/21, 1525.45, 1558.81, 1508.90, 1556.77
01/15/21, 1536.82, 1547.84, 1516.14, 1524.49
01/14/21, 1567.11, 1568.06, 1542.17, 1546.60
01/13/21, 1559.77, 1567.88, 1545.26, 1559.28
01/12/21, 1549.04, 1556.35, 1537.38, 1549.53
01/11/21, 1539.96, 1557.45, 1522.25, 1536.19
01/08/21, 1526.51, 1542.75, 1519.80, 1540.61
01/07/21, 1511.60, 1522.70, 1505.70, 1522.24
01/06/21, 1501.61, 1509.49, 1497.09, 1505.42
01/05/21, 1492.19, 1506.89, 1474.76, 1489.56
01/04/21, 1482.17, 1500.01, 1478.70, 1495.43
12/31/20, 1480.81, 1484.37, 1470.28, 1476.72
12/30/20, 1463.07, 1483.16, 1463.07, 1479.91
12/29/20, 1442.97, 1459.69, 1436.21, 1459.69
12/28/20, 1431.67, 1442.79, 1431.67, 1439.29
12/25/20, 1429.07, 1438.49, 1422.71, 1426.03
12/24/20, 1420.15, 1432.28, 1415.35, 1426.00
12/23/20, 1409.15, 1420.77, 1409.15, 1417.66
12/22/20, 1393.57, 1410.82, 1391.69, 1404.97
12/21/20, 1401.65, 1401.65, 1368.58, 1384.43
12/18/20, 1398.26, 1410.32, 1396.03, 1408.32
12/17/20, 1403.10, 1406.10, 1392.47, 1399.36
12/16/20, 1404.25, 1409.78, 1384.98, 1392.45
12/15/20, 1392.74, 1399.86, 1385.19, 1395.40
12/14/20, 1378.19, 1394.58, 1378.19, 1388.55
12/11/20, 1351.84, 1371.00, 1342.58, 1370.70
12/10/20, 1353.39, 1366.78, 1346.52, 1353.36
12/09/20, 1342.42, 1360.63, 1342.42, 1350.32
12/08/20, 1331.63, 1348.30, 1331.63, 1339.89
12/07/20, 1329.96, 1336.68, 1326.13, 1329.90
12/04/20, 1331.62, 1337.88, 1326.20, 1330.87
12/03/20, 1327.62, 1335.77, 1315.52, 1330.85
12/02/20, 1326.76, 1338.95, 1318.39, 1325.49
12/01/20, 1302.25, 1325.29, 1287.62, 1325.29
11/30/20, 1314.43, 1316.52, 1283.58, 1283.58
11/27/20, 1348.47, 1351.65, 1324.72, 1328.73
11/26/20, 1334.67, 1343.93, 1326.06, 1342.49
11/25/20, 1330.07, 1341.91, 1323.42, 1325.47
11/24/20, 1323.16, 1334.26, 1308.69, 1320.98
11/23/20, 1329.29, 1336.14, 1299.27, 1314.25
11/20/20, 1315.69, 1328.33, 1315.59, 1323.95
11/19/20, 1293.73, 1325.70, 1277.69, 1313.02
11/18/20, 1264.06, 1294.72, 1264.06, 1294.72
11/17/20, 1291.65, 1293.01, 1259.69, 1259.72
11/16/20, 1304.70, 1309.98, 1291.48, 1292.99
11/13/20, 1277.06, 1292.83, 1272.76, 1291.29
11/12/20, 1284.52, 1303.81, 1262.58, 1271.75
11/11/20, 1249.87, 1284.62, 1248.43, 1279.22
11/10/20, 1226.73, 1244.37, 1218.83, 1243.00
11/09/20, 1214.42, 1235.30, 1211.16, 1231.54
11/06/20, 1180.49, 1192.24, 1177.05, 1191.96
11/05/20, 1172.77, 1184.61, 1165.83, 1180.02
11/04/20, 1155.48, 1170.94, 1154.00, 1167.65
11/03/20, 1138.60, 1155.96, 1122.64, 1150.71
11/02/20, 1119.72, 1143.45, 1117.68, 1133.59
10/30/20, 1120.85, 1120.85, 1095.72, 1112.37
10/28/20, 1150.10, 1152.61, 1126.99, 1126.99
10/27/20, 1143.89, 1157.87, 1133.73, 1152.63
10/26/20, 1183.61, 1183.61, 1141.58, 1144.45
10/23/20, 1200.38, 1204.55, 1179.46, 1190.63
10/22/20, 1213.64, 1216.03, 1196.58, 1198.32
10/21/20, 1220.88, 1222.95, 1209.31, 1211.52
10/20/20, 1208.24, 1213.65, 1202.35, 1210.41
10/19/20, 1195.46, 1209.47, 1195.46, 1205.37
10/16/20, 1184.97, 1193.83, 1183.08, 1192.73
10/15/20, 1188.41, 1191.52, 1175.20, 1180.43
10/14/20, 1177.08, 1189.66, 1172.59, 1189.29
10/13/20, 1180.98, 1181.57, 1170.79, 1174.70
10/12/20, 1169.16, 1181.57, 1169.12, 1178.35
10/09/20, 1152.78, 1166.50, 1150.97, 1165.70
10/08/20, 1156.74, 1159.41, 1143.33, 1150.49
10/07/20, 1150.10, 1156.88, 1147.43, 1152.41
10/06/20, 1165.12, 1170.48, 1153.71, 1153.71
10/05/20, 1150.79, 1161.03, 1150.79, 1160.71
10/02/20, 1138.91, 1150.35, 1137.55, 1145.03
10/01/20, 1150.07, 1155.38, 1142.77, 1143.51
09/30/20, 1128.96, 1146.73, 1128.96, 1145.24
09/29/20, 1123.65, 1132.27, 1112.39, 1123.25
09/28/20, 1124.68, 1130.68, 1116.34, 1121.17
09/25/20, 1129.03, 1135.07, 1123.76, 1124.17
09/24/20, 1098.88, 1120.73, 1097.01, 1119.56
09/23/20, 1101.04, 1109.81, 1098.82, 1102.65
09/22/20, 1088.67, 1097.51, 1084.93, 1096.16
09/21/20, 1111.82, 1115.14, 1085.73, 1087.03
09/18/20, 1112.68, 1115.82, 1109.57, 1111.96
09/17/20, 1105.74, 1110.66, 1100.27, 1110.66
09/16/20, 1113.54, 1116.57, 1104.69, 1107.11
09/15/20, 1110.55, 1118.70, 1096.65, 1111.24
09/14/20, 1105.31, 1110.34, 1103.41, 1107.29
09/11/20, 1100.75, 1104.76, 1096.79, 1102.70
09/10/20, 1101.01, 1105.98, 1093.58, 1099.06
09/09/20, 1089.39, 1099.81, 1087.49, 1099.68
09/08/20, 1101.56, 1102.80, 1085.23, 1089.60
09/07/20, 1089.54, 1097.77, 1089.54, 1096.81
09/04/20, 1075.57, 1090.03, 1072.80, 1086.32
09/03/20, 1085.88, 1091.11, 1074.34, 1076.34
09/02/20, 1086.09, 1091.30, 1079.83, 1083.91
09/01/20, 1081.66, 1086.29, 1064.42, 1085.19
08/31/20, 1101.78, 1102.38, 1076.07, 1078.61
08/28/20, 1112.88, 1113.55, 1094.84, 1100.55
08/27/20, 1107.55, 1111.60, 1102.01, 1108.93
08/26/20, 1090.10, 1104.65, 1085.99, 1099.02
08/25/20, 1114.05, 1118.24, 1083.14, 1092.16
08/24/20, 1111.21, 1118.11, 1106.23, 1108.44
08/21/20, 1132.90, 1141.32, 1106.71, 1109.88
08/20/20, 1124.97, 1131.70, 1113.93, 1126.80
08/19/20, 1099.41, 1125.80, 1099.41, 1124.71
08/18/20, 1087.75, 1100.59, 1084.47, 1092.46
08/17/20, 1085.52, 1090.16, 1077.29, 1086.20
08/14/20, 1093.52, 1096.18, 1077.32, 1083.83
08/13/20, 1119.48, 1125.92, 1095.84, 1100.26
08/12/20, 1114.90, 1119.29, 1096.46, 1114.18
08/11/20, 1082.24, 1112.44, 1082.24, 1110.05
08/10/20, 1055.58, 1078.94, 1039.00, 1075.52
08/07/20, 1030.33, 1062.07, 985.38, 1060.59
08/06/20, 1090.61, 1093.68, 1033.82, 1034.40
08/05/20, 1095.29, 1100.56, 1066.13, 1091.80
08/04/20, 1140.39, 1143.26, 1064.91, 1087.16
07/30/20, 1137.17, 1137.17, 1124.60, 1126.90
07/29/20, 1156.04, 1159.74, 1120.96, 1135.55
07/28/20, 1197.10, 1198.16, 1152.70, 1152.70
07/27/20, 1199.57, 1203.42, 1194.35, 1195.67
07/24/20, 1185.01, 1192.02, 1182.21, 1192.02
07/23/20, 1187.14, 1196.72, 1185.85, 1190.31
07/22/20, 1188.16, 1193.72, 1175.36, 1180.80
07/21/20, 1201.71, 1205.86, 1171.60, 1180.42
07/20/20, 1188.44, 1197.47, 1185.83, 1192.81
07/17/20, 1188.65, 1191.61, 1183.61, 1187.86
07/16/20, 1187.35, 1194.51, 1186.85, 1188.08
07/14/20, 1181.14, 1186.58, 1170.02, 1177.41
07/13/20, 1162.62, 1183.99, 1161.26, 1183.99
07/10/20, 1154.51, 1154.51, 1128.29, 1148.09
07/09/20, 1193.49, 1196.86, 1156.34, 1157.94
07/08/20, 1196.03, 1202.03, 1185.77, 1187.13
07/07/20, 1187.92, 1197.45, 1170.75, 1193.39
07/06/20, 1166.74, 1185.12, 1166.74, 1184.85
07/03/20, 1173.16, 1173.91, 1153.12, 1157.48
07/02/20, 1158.44, 1171.78, 1157.46, 1169.08
07/01/20, 1171.68, 1173.58, 1151.23, 1153.15
06/30/20, 1164.26, 1169.71, 1161.47, 1165.25
06/29/20, 1147.76, 1160.15, 1144.32, 1158.43
06/26/20, 1151.17, 1153.55, 1143.89, 1146.68
06/25/20, 1143.92, 1149.75, 1134.20, 1141.39
06/24/20, 1153.69, 1156.27, 1143.33, 1144.49
06/23/20, 1156.17, 1162.79, 1150.60, 1153.39
06/22/20, 1147.01, 1154.47, 1142.67, 1151.90
06/19/20, 1135.61, 1143.38, 1128.58, 1136.12
06/18/20, 1111.17, 1126.76, 1111.17, 1124.95
06/17/20, 1112.81, 1116.15, 1104.14, 1109.40
06/16/20, 1108.15, 1118.75, 1107.06, 1109.40
06/15/20, 1093.93, 1100.67, 1087.16, 1095.56
06/12/20, 1084.85, 1101.27, 1078.33, 1098.35
06/11/20, 1093.74, 1101.58, 1087.45, 1091.55
06/10/20, 1096.00, 1104.10, 1093.92, 1097.79
06/09/20, 1099.45, 1103.30, 1084.56, 1092.37
06/08/20, 1103.32, 1110.43, 1092.48, 1096.37
06/05/20, 1101.43, 1106.02, 1095.46, 1100.22
06/04/20, 1093.84, 1098.53, 1087.79, 1095.37
06/03/20, 1089.26, 1092.31, 1083.27, 1091.11
06/02/20, 1077.88, 1084.84, 1070.99, 1080.97
06/01/20, 1064.81, 1073.72, 1063.57, 1072.66
05/29/20, 1051.83, 1056.69, 1046.71, 1055.20
05/28/20, 1055.56, 1062.92, 1045.35, 1053.60
05/27/20, 1037.98, 1054.95, 1037.98, 1049.53
05/22/20, 1024.54, 1033.07, 1020.14, 1030.24
05/21/20, 1022.24, 1032.27, 1021.49, 1026.49
05/20/20, 1024.92, 1029.98, 1019.68, 1021.58
05/18/20, 1008.97, 1022.25, 1008.97, 1019.83
05/15/20, 996.78, 1008.13, 996.78, 997.68
05/14/20, 1000.08, 1003.81, 984.94, 991.93
05/13/20, 997.05, 1008.65, 994.43, 1001.59
05/12/20, 979.26, 997.08, 977.40, 996.16
05/11/20, 984.20, 986.41, 977.92, 977.92
05/08/20, 989.03, 995.14, 976.72, 978.45
05/07/20, 985.80, 992.73, 978.00, 983.99
05/06/20, 988.86, 992.80, 980.69, 985.71
05/05/20, 996.34, 997.91, 978.80, 987.38
05/04/20, 1002.54, 1002.54, 983.06, 988.42
04/30/20, 1019.96, 1023.28, 993.60, 1011.10
04/29/20, 1012.13, 1017.43, 1005.79, 1015.95
04/28/20, 1015.43, 1019.18, 1006.21, 1007.07
04/27/20, 1000.86, 1013.61, 1000.86, 1012.67
04/24/20, 984.49, 994.97, 979.29, 987.59
04/22/20, 981.29, 989.62, 978.97, 981.71
04/21/20, 983.68, 985.03, 972.76, 976.19
04/20/20, 986.62, 992.67, 980.68, 989.46
04/17/20, 982.87, 987.59, 976.01, 981.80
04/16/20, 967.06, 970.65, 953.30, 962.49
04/15/20, 989.45, 990.44, 946.02, 958.55
04/14/20, 974.91, 986.30, 972.73, 985.50
04/13/20, 954.63, 973.12, 950.19, 963.99
04/10/20, 962.01, 974.83, 953.52, 964.71
04/09/20, 942.75, 958.34, 936.29, 958.34
04/08/20, 924.82, 932.75, 918.03, 932.25
04/07/20, 931.74, 947.79, 923.82, 923.82
04/06/20, 909.89, 921.58, 906.31, 920.71
04/03/20, 896.14, 899.69, 890.43, 895.53
04/02/20, 897.48, 904.09, 880.82, 895.11
04/01/20, 882.86, 903.99, 878.89, 890.85
03/31/20, 892.79, 902.69, 886.42, 896.44
03/30/20, 879.37, 888.12, 868.15, 880.59
03/27/20, 918.34, 922.99, 881.25, 881.25
03/26/20, 889.60, 918.07, 884.81, 915.28
